"No.","Time","Source","Destination","Protocol","Length","Info"
"11670","82.315133920","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6709511 Ack=16687 Win=72192 Len=1420 TSval=561817742 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11672","82.315311104","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6710931 Ack=16687 Win=72192 Len=1420 TSval=561817743 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11673","82.315969464","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6712351 Ack=16687 Win=72192 Len=1420 TSval=561817743 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11675","82.316104024","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6713771 Ack=16687 Win=72192 Len=1420 TSval=561817744 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11676","82.316767514","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6715191 Ack=16687 Win=72192 Len=1420 TSval=561817744 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11678","82.317639295","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6716611 Ack=16687 Win=72192 Len=1420 TSval=561817745 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11679","82.317651912","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6718031 Ack=16687 Win=72192 Len=1420 TSval=561817745 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11681","82.317678160","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11682","82.317730725","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6720871 Ack=16687 Win=72192 Len=1420 TSval=561817745 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11684","82.318365789","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6722291 Ack=16687 Win=72192 Len=1420 TSval=561817746 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11685","82.318395130","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6723711 Ack=16687 Win=72192 Len=1420 TSval=561817746 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11687","82.318586342","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6725131 Ack=16687 Win=72192 Len=1420 TSval=561817747 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11688","82.318801362","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6726551 Ack=16687 Win=72192 Len=1420 TSval=561817747 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11690","82.319314938","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6727971 Ack=16687 Win=72192 Len=1420 TSval=561817747 TSecr=3833707104 [TCP segment of a reassembled PDU]"
"11691","82.319988652","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6729391 Ack=16687 Win=72192 Len=1420 TSval=561817747 TSecr=3833707104 [TCP segment of a reassembled PDU]"
